"60002283";27
"60002504";28
"60003620";27
"60004277";28
"60004487";27
"60004487";54
"60004505";27
"60004505";29
"60004505";82
"60004505";95
"60004505";107
"60004505";148
"60004932";27
"60005856";28
"60007437";27
"60008724";27
"60008845";27
"60008927";27
"60008927";29
"60008927";44
"60008927";74
"60008927";93
"60008927";103
"60008927";111
"60009573";27
"60010084";28
"60010084";80
"60010084";147
"60010084";148
"60010084";153
"60010166";27
"60010885";27
"60016308";27
"60016308";29
"60016308";52
"60016308";83
"60016308";99
"60016589";27
"60016589";43
"60018088";27
"60018088";41
"60018088";59
"60018444";27
"60018444";53
"60018444";96
"60018444";97
"60018444";99
"60018444";145
"60018896";27
"60019813";27
"60019813";29
"60019813";37
"60019813";43
"60019813";63
"60019813";66
"60019813";68
"60019813";82
"60019813";95
"60019813";107
"60019927";27
"60021127";28
"60021216";28
"60021312";27
"60021771";27
"60021928";27
"60022275";28
"60023270";27
"60025054";27
"60025054";29
"60025054";43
"60025054";83
"60025054";99
"60025054";110
"60026957";27
"60027685";27
"60028050";27
"60028552";27
"60028552";148
"60029394";27
"60030699";27
"60030699";148
"60031071";27
"60033389";27
"60033389";29
"60033389";43
"60033389";82
"60033389";95
"60033389";107
"60033510";27
"60033510";43
"60034085";27
"60034085";41
"60034085";44
"60034085";103
"60034085";109
"60034085";147
"60034085";153
"60034644";27
"60034936";27
"60035714";27
"60035714";47
"60035714";52
"60035714";122
"60035714";128
"60035714";132
"60035714";139
"60035714";142
"60037327";27
"60037380";27
"60038468";27
"60040572";27
"60040572";148
"60041560";27
"60041560";54
"60043038";27
"60043038";150
"60043077";28
"60044492";27
"60044492";29
"60044492";44
"60044492";74
"60044492";93
"60044492";103
"60044492";111
"60044784";27
"60044841";27
"60044987";27
"60044987";29
"60044987";42
"60044987";43
"60044987";82
"60044987";95
"60044987";107
"60045217";27
"60045217";148
"60046529";27
"60047143";28
"60047143";148
"60047182";41
"60047182";44
"60047182";58
"60047182";103
"60047182";109
"60047182";111
"60047182";157
"60047225";19
"60047225";27
"60047225";29
"60047225";43
"60047225";68
"60047225";82
"60047225";95
"60047225";107
"60047271";27
"60048672";27
"60049895";27
"60051234";27
"60052254";27
"60052254";43
"60054077";27
"60054312";27
"60054376";27
"60054376";29
"60054376";43
"60054376";82
"60054376";95
"60054376";107
"60058008";27
"60058378";28
"60058517";27
"60058620";27
"60058620";29
"60058620";43
"60058620";82
"60058620";107
"60059081";41
"60059081";44
"60059081";58
"60059081";71
"60059081";103
"60059081";109
"60059081";111
"60059081";145
"60059081";157
"60061171";27
"60061602";27
"60061602";41
"60061602";59
"60061709";27
"60064872";27
"60064872";29
"60064872";44
"60064872";74
"60064872";93
"60064872";103
"60064872";111
"60065198";27
"60065390";28
"60067562";28
"60068002";27
"60068034";27
"60068251";27
"60068333";27
"60069307";27
"60069307";43
"60069339";27
"60070665";27
"60070665";48
"60070665";51
"60070665";95
"60070665";99
"60070665";101
"60071190";27
"60071233";27
"60071233";48
"60071379";28
"60071952";28
"60073608";28
"60073907";27
"60073907";29
"60073907";44
"60073907";74
"60073907";93
"60073907";103
"60073907";111
"60073960";27
"60074795";22
"60074795";23
"60074795";27
"60074795";43
"60074934";27
"60075192";27
"60075370";8
"60075370";41
"60075370";58
"60075370";157
"60075452";27
"60075452";41
"60075452";59
"60076860";27
"60076860";29
"60076860";37
"60076860";43
"60076860";66
"60076860";68
"60076860";82
"60076860";95
"60076860";107
"60077574";27
"60077574";29
"60077574";52
"60077574";83
"60077574";99
"60078765";27
"60080218";28
"60080232";27
"60080232";148
"60082062";27
"60082062";29
"60082062";52
"60082062";134
"60082233";27
"60082450";27
"60083132";27
"60084049";27
"60085553";27
"60085553";29
"60085553";43
"60085553";83
"60085553";99
"60085553";110
"60089217";27
"60089217";29
"60089217";82
"60089217";107
"60089217";148
"60092590";27
"60092811";27
"60093639";27
"60094125";27
"60095526";27
"60097203";27
"60097833";27
"60099738";27
"60100877";27
"60101406";27
"60105162";27
"60105568";28
"60105568";148
"60106606";11
"60106606";27
